shRN_AID	GeneSymbol	EntrezID	Pool	shRNA_start	Mean_T14.T0	T14.T0_A	T14.T0_B	Reads_A_T0	Reads_A_T14	Reads_B_T0	Reads_B_T14
LOC100048887.732	LOC100048887	100048887	LIB	732	0.074897582	0.110762101	0.039033064	19420	2151	23621	922
LOC100048887.787	LOC100048887	100048887	LIB	787	0	0	0	5608	0	5382	0
LOC100048887.803	LOC100048887	100048887	LIB	803	0.116716316	0.079717133	0.153715499	15555	1240	14130	2172
LOC664892.1494	LOC664892	664892	LIB	1494	0.568467589	0.647703684	0.489231493	15416	9985	16994	8314
LOC664892.1500	LOC664892	664892	LIB	1500	0.82744825	1.141203528	0.513692971	39567	45154	32681	16788
LOC664892.1697	LOC664892	664892	LIB	1697	0.363859691	0.15822698	0.569492403	21861	3459	23168	13194
LOC664892.1892	LOC664892	664892	LIB	1892	0.09125886	0.026162019	0.156355701	7530	197	9165	1433
LOC664892.2169	LOC664892	664892	LIB	2169	0.011900813	0.022360704	0.001440922	2728	61	694	1
Mbd1.746	Mbd1	17190	LIB	746	0.194643294	0.000376081	0.388910506	18613	7	15420	5997
Mbd1.1387	Mbd1	17190	LIB	1387	0.200901765	0.042339934	0.359463595	16462	697	11111	3994
Mbd1.1856	Mbd1	17190	LIB	1856	0.078750031	0.010875476	0.146624585	16551	180	18694	2741
Mbd1.2237	Mbd1	17190	LIB	2237	0.145222056	0.013529275	0.276914837	4287	58	3734	1034
Mbd2.938	Mbd2	17191	LIB	938	0.033554608	0	0.067109216	18282	0	20638	1385
Mbd2.1117	Mbd2	17191	LIB	1117	0.276620876	0.447187977	0.106053776	57023	25500	68767	7293
Mbd2.1545	Mbd2	17191	LIB	1545	0.103798129	0.202524797	0.005071462	5545	1123	2169	11
Mbd2.1763	Mbd2	17191	LIB	1763	0.028187951	0.001406376	0.054969526	14932	21	8532	469
Mbd2.1823	Mbd2	17191	LIB	1823	0.414679837	0.282276488	0.547083186	168962	47694	166843	91277
Mbd3.579	Mbd3	17192	LIB	579	0.039006515	0.011331445	0.066681584	2471	28	4469	298
Mbd3.1147	Mbd3	17192	LIB	1147	0.132003104	0.132045515	0.131960693	7558	998	6411	846
Mbd3.1354	Mbd3	17192	LIB	1354	0.036617996	0.036774807	0.036461185	9463	348	9133	333
Mbd3.1452	Mbd3	17192	LIB	1452	0.87003635	1.544545602	0.195527097	12302	19001	10776	2107
Mbd3.1551	Mbd3	17192	LIB	1551	0.141265139	0.281803323	0.000726956	14684	4138	13756	10
Mbd4.434	Mbd4	17193	LIB	434	0.717498316	0.023598072	1.411398561	7882	186	5141	7256
Mbd4.1027	Mbd4	17193	LIB	1027	0.150955677	0.221333433	0.080577921	26878	5949	31423	2532
Mbd4.3297	Mbd4	17193	LIB	3297	0.653742815	0.838148831	0.469336798	63441	53173	49261	23120
Mbd4.3541	Mbd4	17193	LIB	3541	0.419652469	0.667150846	0.172154092	13769	9186	15004	2583
Mds1.87	Mds1	17251	LIB	87	0.048096175	0.003971464	0.092220886	13597	54	10811	997
Mds1.651	Mds1	17251	LIB	651	0.319940409	0.13257804	0.507302777	24891	3300	20814	10559
Mds1.764	Mds1	17251	LIB	764	0.033157893	0.001919102	0.064396684	6774	13	12423	800
Mds1.874	Mds1	17251	LIB	874	0.793188133	1.077433351	0.508942915	55777	60096	65359	33264
Mecp2.1627	Mecp2	17257	LIB	1627	0.158179087	0.277250113	0.039108062	2211	613	2915	114
Mecp2.2287	Mecp2	17257	LIB	2287	0.784008604	0.547153313	1.020863896	30878	16895	24540	25052
Mecp2.5438	Mecp2	17257	LIB	5438	0.36095926	0.389780357	0.332138162	17574	6850	16734	5558
Mecp2.7745	Mecp2	17257	LIB	7745	0.037865771	0.010600201	0.065131342	6981	74	8337	543
Men1.219	Men1	17283	LIB	219	0.122260163	0.184664749	0.059855578	36152	6676	36421	2180
Men1.228	Men1	17283	LIB	228	0	0	0	2413	0	1031	0
Men1.1457	Men1	17283	LIB	1457	0.029537974	0.059075949	0	24003	1418	19287	0
Men1.2310	Men1	17283	LIB	2310	0	0	0	1903	0	1963	0
Men1.2707	Men1	17283	LIB	2707	0.081531892	0	0.163063784	3891	0	3747	611
Mettl8.846	Mettl8	228019	LIB	846	1.673269703	2.111991617	1.234547788	15269	32248	20256	25007
Mettl8.1184	Mettl8	228019	LIB	1184	0.530893217	0.727875059	0.333911375	31695	23070	27103	9050
Mettl8.1353	Mettl8	228019	LIB	1353	0.232238461	0.281751288	0.182725634	13590	3829	7213	1318
Mettl8.1914	Mettl8	228019	LIB	1914	0.286619482	0.004971898	0.568267067	4626	23	2666	1515
Mettl8.1990	Mettl8	228019	LIB	1990	0.061709694	0.006313275	0.117106114	17582	111	13919	1630
Mgmt.384	Mgmt	17314	LIB	384	0.090639202	0.001580492	0.179697912	8858	14	13506	2427
Mgmt.412	Mgmt	17314	LIB	412	5.939776926	4.372746171	7.506807681	47142	206140	56921	427295
Mgmt.433	Mgmt	17314	LIB	433	0.561261701	0.568160783	0.554362619	7563	4297	6613	3666
Mgmt.672	Mgmt	17314	LIB	672	0.019081112	0.035102041	0.003060184	1225	43	2941	9
Mgmt.730	Mgmt	17314	LIB	730	0.209668367	0.252318376	0.167018358	22753	5741	18956	3166
Mll1.4195	Mll1	214162	LIB	4195	0.205418371	0.28092254	0.129914202	19468	5469	15618	2029
Mll1.11050	Mll1	214162	LIB	11050	0.091881752	0.041176728	0.142586776	22877	942	24834	3541
Mll1.13303	Mll1	214162	LIB	13303	NA	NA	NA	305	0	759	0
Mll1.16168	Mll1	214162	LIB	16168	0.101967298	0.1481428	0.055791796	27703	4104	31277	1745
Mll2.4285	Mll2	381022	LIB	4285	2.378116941	2.670245399	2.085988484	5216	13928	5210	10868
Mll2.5430	Mll2	381022	LIB	5430	0.42815757	0.457258743	0.399056397	13067	5975	9114	3637
Mll2.6153	Mll2	381022	LIB	6153	4.914842828	4.14081359	5.688872067	2237	9263	2642	15030
Mll2.11374	Mll2	381022	LIB	11374	15.43389955	22.53070605	8.337093044	33723	759803	28105	234314
Mll2.12943	Mll2	381022	LIB	12943	7.90198211	4.957801222	10.846163	46826	232154	42025	455810
Mll3.1099	Mll3	231051	LIB	1099	2.088422368	3.689806678	0.487038058	1138	4199	1813	883
Mll3.2993	Mll3	231051	LIB	2993	0.681144071	0.610359065	0.751929076	19133	11678	12182	9160
Mll3.5304	Mll3	231051	LIB	5304	0	0	0	3633	0	5156	0
Mll3.6232	Mll3	231051	LIB	6232	1.804491278	2.920727522	0.688255034	5828	17022	8940	6153
Mll3.15396	Mll3	231051	LIB	15396	5.053664383	7.673024929	2.434303837	40315	309338	50764	123575
Morf4l1.281	Morf4l1	21761	LIB	281	0.139995763	0.248305961	0.031685564	17414	4324	22313	707
Morf4l1.603	Morf4l1	21761	LIB	603	0.031392948	0.042246873	0.020539024	25422	1074	19962	410
Morf4l1.639	Morf4l1	21761	LIB	639	0.11593131	0.140696498	0.091166122	20761	2921	15916	1451
Morf4l1.1034	Morf4l1	21761	LIB	1034	0.008070115	0.005876667	0.010263563	25865	152	27963	287
Morf4l1.1245	Morf4l1	21761	LIB	1245	0.355326987	0.511142363	0.199511612	18488	9450	19247	3840
Mta1.213	Mta1	116870	LIB	213	0	0	0	1640	0	2028	0
Mta1.1003	Mta1	116870	LIB	1003	0.371959696	0.15191828	0.592001111	8419	1279	7201	4263
Mta1.1053	Mta1	116870	LIB	1053	0.101226426	0.097185681	0.10526717	12543	1219	13119	1381
Mta1.1147	Mta1	116870	LIB	1147	0.884542293	0.609151329	1.159933256	23472	14298	19777	22940
Mta1.1363	Mta1	116870	LIB	1363	NA	NA	NA	94	0	210	0
Mta2.511	Mta2	23942	LIB	511	0.027716689	0.003469469	0.05196391	10088	35	14741	766
Mta2.924	Mta2	23942	LIB	924	0.015603346	0.021342134	0.009864558	9090	194	12773	126
Mta2.1284	Mta2	23942	LIB	1284	0.263205121	0.432928311	0.093481932	16460	7126	14805	1384
Mta2.2013	Mta2	23942	LIB	2013	NA	NA	NA	126	0	1746	0
Mta3.222	Mta3	116871	LIB	222	0	0	0	2387	0	3939	0
Mta3.553	Mta3	116871	LIB	553	0.065665497	0.003378664	0.127952329	11839	40	9230	1181
Mta3.1523	Mta3	116871	LIB	1523	0.610472449	0.857285113	0.363659784	22093	18940	27171	9881
Mta3.1663	Mta3	116871	LIB	1663	0.067934747	0.118514248	0.017355245	12142	1439	13022	226
Myst1.643	Myst1	67773	LIB	643	0	0	0	5812	0	6117	0
Myst1.724	Myst1	67773	LIB	724	0.379083512	0.089139878	0.669027146	11510	1026	23724	15872
Myst1.1250	Myst1	67773	LIB	1250	0	0	0	5525	0	3597	0
Myst1.1302	Myst1	67773	LIB	1302	0.125921699	0.044815645	0.207027753	4909	220	4468	925
Myst2.176	Myst2	217127	LIB	176	0.973337724	1.441661409	0.505014039	84001	121101	82269	41547
Myst2.507	Myst2	217127	LIB	507	2.531753597	2.010045335	3.053461859	41910	84241	52804	161235
Myst2.1183	Myst2	217127	LIB	1183	0.93839873	1.308311364	0.568486097	7207	9429	5826	3312
Myst2.3099	Myst2	217127	LIB	3099	0.192553734	0.281569343	0.103538124	21920	6172	21876	2265
Myst3.2590	Myst3	244349	LIB	2590	0	0	0	690	0	1102	0
Myst3.3127	Myst3	244349	LIB	3127	0	0	0	3786	0	2861	0
Myst3.3485	Myst3	244349	LIB	3485	0.006118881	0.012237762	0	1716	21	1398	0
Myst3.4554	Myst3	244349	LIB	4554	0.999844656	0.815379706	1.184309605	15670	12777	11421	13526
Myst3.6844	Myst3	244349	LIB	6844	0.756310595	0.374601925	1.138019266	27947	10469	26576	30244
Myst4.3568	Myst4	54169	LIB	3568	0.170742331	0.244378552	0.097106109	12141	2967	3110	302
Myst4.5452	Myst4	54169	LIB	5452	1.060119091	1.491440019	0.628798162	16472	24567	19154	12044
Myst4.6527	Myst4	54169	LIB	6527	0.17356428	0.192047589	0.15508097	15970	3067	14141	2193
Myst4.6644	Myst4	54169	LIB	6644	2.400441106	2.029316862	2.771565351	21694	44024	22142	61368
Nap1l1.2360	Nap1l1	53605	LIB	2360	0.319133892	0.437873007	0.200394778	20442	8951	22291	4467
Nap1l1.2470	Nap1l1	53605	LIB	2470	2.672057204	0.893748358	4.45036605	15228	13610	16118	71731
Nap1l1.3414	Nap1l1	53605	LIB	3414	0.391905722	0.627474398	0.156337047	33493	21016	37336	5837
Nap1l1.3554	Nap1l1	53605	LIB	3554	0.112275278	0.113553114	0.110997442	19656	2232	17595	1953
Nap1l2.819	Nap1l2	17954	LIB	819	2.125995207	0.800219962	3.451770452	18185	14552	18837	65021
Nap1l2.1093	Nap1l2	17954	LIB	1093	0.088819529	0.018720495	0.158918562	12286	230	9099	1446
Nap1l2.1180	Nap1l2	17954	LIB	1180	6.47585e-05	0.000129517	0	7721	1	10120	0
Nap1l2.1695	Nap1l2	17954	LIB	1695	0.088807945	0.029942389	0.147673502	13192	395	15216	2247
Nap1l2.1750	Nap1l2	17954	LIB	1750	0.099698624	0.171510367	0.027886881	11527	1977	12730	355
Nap1l3.743	Nap1l3	54561	LIB	743	2.253593603	3.057823725	1.449363481	11414	34902	10526	15256
Nap1l3.779	Nap1l3	54561	LIB	779	30.3934439	42.83344355	17.95344425	10585	453392	13704	246034
Nap1l3.1969	Nap1l3	54561	LIB	1969	0.056225371	0.040622407	0.071828335	48200	1958	40917	2939
Nap1l3.2063	Nap1l3	54561	LIB	2063	0.055599264	0.110335466	0.000863061	5157	569	6952	6
Nap1l3.2498	Nap1l3	54561	LIB	2498	0.006560346	0.00966944	0.003451251	4447	43	2318	8
Ncoa3.1032	Ncoa3	17979	LIB	1032	0.541947489	0.372010693	0.711884285	13841	5149	15348	10926
Ncoa3.3669	Ncoa3	17979	LIB	3669	0.686557747	0.328572238	1.044543256	17643	5797	12819	13390
Ncoa3.3815	Ncoa3	17979	LIB	3815	0.059493377	0	0.118986753	6003	0	4303	512
Ncoa3.3885	Ncoa3	17979	LIB	3885	0.036495879	0.000121183	0.072870575	8252	1	7232	527
Ncoa3.7494	Ncoa3	17979	LIB	7494	0.119249564	0.004346476	0.234152652	3221	14	3092	724
Nr0b2.381	Nr0b2	23957	LIB	381	0.040594882	0.000521558	0.080668205	11504	6	9099	734
Nr0b2.534	Nr0b2	23957	LIB	534	0.29750152	0.120015301	0.474987739	10457	1255	8156	3874
Nr0b2.558	Nr0b2	23957	LIB	558	0.120666479	0.118932039	0.122400919	19364	2303	17410	2131
Nr0b2.1023	Nr0b2	23957	LIB	1023	0.745556882	1.138253809	0.352859956	42733	48641	39109	13800
Nr0b2.1068	Nr0b2	23957	LIB	1068	1.157353909	1.693199276	0.621508541	58582	99191	69312	43078
Nsd1.2795	Nsd1	18193	LIB	2795	NA	NA	NA	0	0	415	238
Nsd1.5598	Nsd1	18193	LIB	5598	0.586999136	0.521905831	0.652092442	21387	11162	17611	11484
Nsd1.5640	Nsd1	18193	LIB	5640	0.006176289	0.000922834	0.011429745	22756	21	29222	334
Nsd1.11634	Nsd1	18193	LIB	11634	0.35901654	0.04608508	0.671947999	6488	299	4923	3308
Padi4.295	Padi4	18602	LIB	295	0.140719956	0.258960573	0.022479339	15624	4046	18150	408
Padi4.1042	Padi4	18602	LIB	1042	0.902821311	0.530879713	1.274762908	11140	5914	7592	9678
Padi4.1058	Padi4	18602	LIB	1058	0.458948236	0.358981494	0.558914978	7187	2580	9327	5213
Padi4.1914	Padi4	18602	LIB	1914	0.242089806	0.484052223	0.000127389	6051	2929	7850	1
Padi4.2336	Padi4	18602	LIB	2336	0.062117231	0.059119919	0.065114542	5954	352	8032	523
Parp1.1124	Parp1	11545	LIB	1124	0.210888138	0.367549038	0.054227238	10502	3860	10456	567
Parp1.1623	Parp1	11545	LIB	1623	0.104470818	0.188126755	0.02081488	4986	938	4516	94
Parp1.2887	Parp1	11545	LIB	2887	0.892550544	0.316455696	1.468645392	4108	1300	4481	6581
Parp1.3789	Parp1	11545	LIB	3789	0.015223099	0.029524865	0.000921332	15343	453	14110	13
Parp1.3790	Parp1	11545	LIB	3790	0.362609031	0.342329793	0.382888269	22972	7864	22581	8646
Parp2.574	Parp2	11546	LIB	574	0.006105603	0.012211205	0	20473	250	12332	0
Parp2.905	Parp2	11546	LIB	905	0.247891643	0.495783286	0	3913	1940	6975	0
Parp2.946	Parp2	11546	LIB	946	0.053243848	0.106487696	0	8940	952	6587	0
Parp2.1006	Parp2	11546	LIB	1006	1.662743561	1.577856302	1.74763082	12735	20094	9708	16966
Parp2.1429	Parp2	11546	LIB	1429	0.168234787	0.308182513	0.028287061	3923	1209	1909	54
Parp2.1677	Parp2	11546	LIB	1677	0.030777532	0.017032993	0.04452207	21429	365	15745	701
Pax5.154	Pax5	18507	LIB	154	0.16139052	0.235338822	0.087442219	7895	1858	7788	681
Pax5.328	Pax5	18507	LIB	328	0.39397106	0.498357756	0.289584364	7916	3945	8084	2341
Pax5.601	Pax5	18507	LIB	601	0.048479251	0.024589675	0.072368828	16755	412	16181	1171
Pax5.852	Pax5	18507	LIB	852	9.678858441	7.766500178	11.5912167	5606	43539	6945	80501
Pax5.914	Pax5	18507	LIB	914	0.152719984	0.030076142	0.275363825	7880	237	9620	2649
Paxip1.3203	Paxip1	55982	LIB	3203	0.187420804	0.303786616	0.071054993	41990	12756	45697	3247
Paxip1.3451	Paxip1	55982	LIB	3451	3.865093664	3.578045861	4.152141468	21718	77708	22111	91808
Paxip1.3562	Paxip1	55982	LIB	3562	0.722329293	0.613098514	0.831560072	16353	10026	16730	13912
Paxip1.3670	Paxip1	55982	LIB	3670	5.124811105	9.197264873	1.052357337	36342	334247	43757	46048
Pcgf2.507	Pcgf2	22658	LIB	507	0.35115	0.32717803	0.375121969	23232	7601	27671	10380
Pcgf2.690	Pcgf2	22658	LIB	690	0.084288102	0.160556564	0.00801964	8265	1327	6110	49
Pcgf2.801	Pcgf2	22658	LIB	801	0.09993849	0.068596738	0.131280242	18514	1270	22113	2903
Pcgf2.982	Pcgf2	22658	LIB	982	0.444925531	0.384459989	0.505391072	33166	12751	28473	14390
Pcgf2.1013	Pcgf2	22658	LIB	1013	0.090092787	5.66958e-05	0.180128878	17638	1	20019	3606
Pcmt1.619	Pcmt1	18537	LIB	619	1.638746981	2.371052632	0.90644133	18240	43248	19763	17914
Pcmt1.620	Pcmt1	18537	LIB	620	0.066119686	0.000258465	0.131980907	3869	1	8380	1106
Pcmt1.840	Pcmt1	18537	LIB	840	27.42358533	24.71543731	30.13173335	23942	591737	28292	852487
Pcmt1.946	Pcmt1	18537	LIB	946	0.678912333	0.407078398	0.950746269	7092	2887	7370	7007
Pcmt1.1259	Pcmt1	18537	LIB	1259	0.610136449	0.807828401	0.412444497	36457	29451	34007	14026
Pcna.566	Pcna	18538	PC	566	0.013756331	0.021430795	0.006081866	57814	1239	48176	293
Pcna.1186	Pcna	18538	PC	1186	0	0	0	22524	0	21335	0
Phf1.561	Phf1	21652	LIB	561	0.571926578	1.105404769	0.038448387	29733	32867	26321	1012
Phf1.637	Phf1	21652	LIB	637	0.33142531	0.459700889	0.203149731	24740	11373	12636	2567
Phf1.1098	Phf1	21652	LIB	1098	0.118527608	0.184246062	0.052809154	6665	1228	6817	360
Phf1.2400	Phf1	21652	LIB	2400	0.178047503	0.204710012	0.151384993	13673	2799	11408	1727
Phf2.1851	Phf2	18676	LIB	1851	0.281793921	0.46524031	0.098347533	16125	7502	17489	1720
Phf2.3668	Phf2	18676	LIB	3668	0.352946923	0.001776199	0.704117647	3941	7	3400	2394
Phf2.5132	Phf2	18676	LIB	5132	1.021354121	0.675807289	1.366900952	46204	31225	41687	56982
Phf2.5166	Phf2	18676	LIB	5166	1.690348646	0.566009654	2.814687638	49720	28142	45140	127055
Phf8.1420	Phf8	320595	LIB	1420	0.539886389	0.513086274	0.566686504	44092	22623	45369	25710
Phf8.1984	Phf8	320595	LIB	1984	0.090594691	0.06110417	0.120085213	25612	1565	21593	2593
Phf8.2131	Phf8	320595	LIB	2131	0.020983494	0.041486603	0.000480384	11570	480	6245	3
Polr2b.489	Polr2b	231329	PC	489	0	0	0	4441	0	3338	0
Polr2b.2176	Polr2b	231329	PC	2176	3.52833e-05	7.05667e-05	0	14171	1	16062	0
Ppargc1a.669	Ppargc1a	19017	LIB	669	0.538610763	0.908737392	0.168484134	8229	7478	10179	1715
Ppargc1a.831	Ppargc1a	19017	LIB	831	NA	NA	NA	221	0	257	0
Ppargc1a.1269	Ppargc1a	19017	LIB	1269	0.408904844	0.436043305	0.381766382	34453	15023	26676	10184
Ppargc1a.1500	Ppargc1a	19017	LIB	1500	0.229797051	0.203566341	0.256027762	20357	4144	22189	5681
Prdm1.711	Prdm1	12142	LIB	711	0.050370956	0.017908875	0.082833036	7594	136	12326	1021
Prdm1.862	Prdm1	12142	LIB	862	0.127106083	0.093023256	0.161188911	13674	1272	17495	2820
Prdm1.919	Prdm1	12142	LIB	919	0.064288331	0.02643779	0.102138872	7981	211	6452	659
Prdm1.2964	Prdm1	12142	LIB	2964	0.090658195	0.169964956	0.011351434	9702	1649	6519	74
Prdm1.3709	Prdm1	12142	LIB	3709	0.964704579	0.430668605	1.498740554	6880	2963	4367	6545
Prdm10.318	Prdm10	382066	LIB	318	0.06919639	0.042373324	0.096019455	38326	1624	35774	3435
Prdm10.1130	Prdm10	382066	LIB	1130	0.161461455	0.167124645	0.155798265	22199	3710	18678	2910
Prdm10.1348	Prdm10	382066	LIB	1348	0.121409823	0.178588808	0.064230838	14385	2569	11194	719
Prdm10.2613	Prdm10	382066	LIB	2613	0.275005354	0.550010709	0	9338	5136	8248	0
Prdm11.1844	Prdm11	100042784	LIB	1844	0.049836641	0.003384095	0.096289187	7683	26	9378	903
Prdm11.2306	Prdm11	100042784	LIB	2306	0.106674086	0.187523208	0.025824964	2693	505	1394	36
Prdm11.3215	Prdm11	100042784	LIB	3215	0.248260853	0.357676324	0.138845382	34411	12308	45331	6294
Prdm11.3216	Prdm11	100042784	LIB	3216	0.162689304	0.102281495	0.223097113	9073	928	6858	1530
Prdm12.481	Prdm12	381359	LIB	481	0.121026312	9.02527e-05	0.241962372	11080	1	8398	2032
Prdm12.603	Prdm12	381359	LIB	603	0.11654652	0.146549398	0.086543642	18533	2716	14848	1285
Prdm12.1421	Prdm12	381359	LIB	1421	0.036882594	0.001164353	0.072600834	11165	13	7190	522
Prdm12.2351	Prdm12	381359	LIB	2351	0.862186131	0.987938749	0.736433513	35983	35549	39030	28743
Prdm13.554	Prdm13	230025	LIB	554	0.060698903	0.02212727	0.099270536	6553	145	6306	626
Prdm13.2613	Prdm13	230025	LIB	2613	5.270386453	3.099350703	7.441422202	24026	74465	26691	198619
Prdm13.2702	Prdm13	230025	LIB	2702	0.521784232	0	1.043568465	1483	0	964	1006
Prdm13.2828	Prdm13	230025	LIB	2828	0.075151234	0.112102387	0.038200081	21409	2400	19712	753
Prdm13.2936	Prdm13	230025	LIB	2936	0.269317079	0.20276676	0.335867398	20674	4192	24072	8085
Prdm14.530	Prdm14	383491	LIB	530	0.405412499	0.39411959	0.416705408	6054	2386	6453	2689
Prdm14.1756	Prdm14	383491	LIB	1756	0.005945122	0	0.011890244	2872	0	3280	39
Prdm14.1934	Prdm14	383491	LIB	1934	0.293485392	0.527073733	0.059897052	1736	915	2137	128
Prdm14.2271	Prdm14	383491	LIB	2271	0.111037316	0.097569355	0.124505277	23286	2272	18192	2265
Prdm14.2348	Prdm14	383491	LIB	2348	0.492448295	0.042176871	0.94271972	4410	186	4574	4312
Prdm15.958	Prdm15	114604	LIB	958	0.98252896	1.932489451	0.032568468	948	1832	1351	44
Prdm15.1034	Prdm15	114604	LIB	1034	0.004062756	0.003733333	0.004392179	7500	28	7058	31
Prdm15.1690	Prdm15	114604	LIB	1690	0.524906994	0.429446747	0.620367241	11098	4766	8877	5507
Prdm15.1796	Prdm15	114604	LIB	1796	0.174355348	0.183572542	0.165138154	18603	3415	17010	2809
Prdm15.2734	Prdm15	114604	LIB	2734	0.038957255	0.003943577	0.073970934	6593	26	11491	850
Prdm16.680	Prdm16	70673	LIB	680	0.533914395	0.660762545	0.407066246	27382	18093	23775	9678
Prdm16.5683	Prdm16	70673	LIB	5683	0.096716361	0.180946552	0.01248617	9804	1774	12654	158
Prdm16.8212	Prdm16	70673	LIB	8212	NA	NA	NA	510	0	75	0
Prdm16.8363	Prdm16	70673	LIB	8363	0.430720448	0.248793956	0.61264694	32959	8200	37005	22671
Prdm16.8571	Prdm16	70673	LIB	8571	2.329170058	2.550566982	2.107773134	41183	105040	34452	72617
Prdm2.1020	Prdm2	110593	LIB	1020	0.153596644	0.259297344	0.047895945	5835	1513	6535	313
Prdm2.4191	Prdm2	110593	LIB	4191	0.559676498	0.502441293	0.616911704	17204	8644	12039	7427
Prdm2.4655	Prdm2	110593	LIB	4655	NA	NA	NA	0	0	0	0
Prdm2.4956	Prdm2	110593	LIB	4956	0.090352843	0.160106435	0.020599251	30817	4934	19758	407
Prdm2.5781	Prdm2	110593	LIB	5781	0.2845147	0.353298153	0.215731247	7580	2678	7412	1599
Prdm4.1943	Prdm4	72843	LIB	1943	0.115287664	0.047414054	0.183161274	32986	1564	27413	5021
Prdm4.2535	Prdm4	72843	LIB	2535	0.085408022	0.000193199	0.170622844	5176	1	4929	841
Prdm4.3139	Prdm4	72843	LIB	3139	0.001128668	0	0.002257336	3980	0	1329	3
Prdm4.3391	Prdm4	72843	LIB	3391	0.069371374	0.05967095	0.079071797	12217	729	13747	1087
Prdm4.3667	Prdm4	72843	LIB	3667	NA	NA	NA	189	0	71	0
Prdm5.908	Prdm5	70779	LIB	908	0.149313429	0.128342246	0.170284612	17017	2184	16584	2824
Prdm5.984	Prdm5	70779	LIB	984	0.413409055	0.622305737	0.204512373	9047	5630	6870	1405
Prdm5.1353	Prdm5	70779	LIB	1353	1.643969827	2.094062103	1.193877551	5507	11532	2450	2925
Prdm5.2148	Prdm5	70779	LIB	2148	0.648213784	0.715798492	0.580629076	29180	20887	26070	15137
Prdm6.1018	Prdm6	225518	LIB	1018	0.009633756	0.011159403	0.008108108	8513	95	9250	75
Prdm6.1790	Prdm6	225518	LIB	1790	0.123211194	0.098809823	0.147612565	27811	2748	38933	5747
Prdm6.1823	Prdm6	225518	LIB	1823	0.328175562	0.377128018	0.279223106	10397	3921	13953	3896
Prdm6.1839	Prdm6	225518	LIB	1839	0.201249487	0.337440758	0.065058216	8440	2848	8331	542
Prdm8.2290	Prdm8	77630	LIB	2290	0.000542104	0.00048216	0.000602047	2074	1	1661	1
Prdm8.3042	Prdm8	77630	LIB	3042	3.233747051	5.976620158	0.490873944	18563	110944	22244	10919
Prdm8.3048	Prdm8	77630	LIB	3048	0.640755782	1.166720727	0.114790837	9249	10791	8032	922
Prdm8.3062	Prdm8	77630	LIB	3062	0.361793005	0.256726293	0.466859717	34157	8769	24864	11608
Prdm9.77	Prdm9	213389	LIB	77	0.401141561	0.283516221	0.518766901	8384	2377	9245	4796
Prdm9.496	Prdm9	213389	LIB	496	0.222497616	0.078468537	0.366526695	2638	207	1667	611
Prdm9.1838	Prdm9	213389	LIB	1838	0.302877526	0.400302009	0.205453043	28476	11399	32679	6714
Prkaa1.145	Prkaa1	105787	LIB	145	0.14165733	0.1690104	0.114304261	15289	2584	16946	1937
Prkaa1.1981	Prkaa1	105787	LIB	1981	0.019533353	0.019407151	0.019659554	7523	146	8342	164
Prkaa1.3080	Prkaa1	105787	LIB	3080	NA	NA	NA	1662	0	458	0
Prkaa1.3635	Prkaa1	105787	LIB	3635	3.189719542	4.278249106	2.101189977	51745	221378	47732	100294
Prkaa1.3954	Prkaa1	105787	LIB	3954	0.013169577	0	0.026339154	3718	0	3379	89
Prkaa1.4596	Prkaa1	105787	LIB	4596	0.034088344	0.058964593	0.009212095	14178	836	18454	170
Prkaa2.2299	Prkaa2	108079	LIB	2299	0.004331754	0.000484027	0.008179481	2066	1	4279	35
Prkaa2.2748	Prkaa2	108079	LIB	2748	0.340786503	0.362280234	0.319292772	1877	680	1923	614
Prkaa2.4825	Prkaa2	108079	LIB	4825	NA	NA	NA	0	0	21	0
Prkaa2.6172	Prkaa2	108079	LIB	6172	0.020265668	0	0.040531335	2701	0	2936	119
Prkaa2.6849	Prkaa2	108079	LIB	6849	0.135065674	0.072316173	0.197815176	21406	1548	23709	4690
Prkcd.161	Prkcd	18753	LIB	161	0.179448269	0.099882029	0.259014509	5086	508	6961	1803
Prkcd.441	Prkcd	18753	LIB	441	0.327507015	0.001459854	0.653554175	685	1	1449	947
Prkcd.707	Prkcd	18753	LIB	707	0.664294206	1.071999112	0.2565893	9014	9663	10168	2609
Prkcd.1389	Prkcd	18753	LIB	1389	1.255652224	0.641311475	1.869992973	1525	978	1423	2661
Prmt1.243	Prmt1	15469	LIB	243	0.110664823	0.120254845	0.101074802	15068	1812	18422	1862
Prmt1.264	Prmt1	15469	LIB	264	0.272777523	0.382384883	0.163170163	46040	17605	55341	9030
Prmt1.630	Prmt1	15469	LIB	630	1.328852347	1.764027294	0.8936774	20371	35935	26429	23619
Prmt1.1014	Prmt1	15469	LIB	1014	0.484140888	0.638219895	0.330061882	26740	17066	25371	8374
Prmt2.151	Prmt2	15468	LIB	151	0.031631618	0.037750897	0.025512338	7523	284	7173	183
Prmt2.154	Prmt2	15468	LIB	154	0.973162231	1.211030345	0.735294118	8667	10496	12546	9225
Prmt2.1066	Prmt2	15468	LIB	1066	9.18442e-05	0.000183688	0	5444	1	4843	0
Prmt2.1067	Prmt2	15468	LIB	1067	0.815640774	0.654386731	0.976894818	11455	7496	10344	10105
Prmt3.502	Prmt3	71974	LIB	502	0.157500935	0.315001871	0	2673	842	4409	0
